kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test.1.sm_70.ptx 2903 : 200000 7068864 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2902 : 200000 2149376 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2901 : 200000 7296768 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2900 : 200000 7109408 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2899 : 200000 2143232 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2898 : 200000 7318688 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2897 : 200000 7136288 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2896 : 200000 2153600 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2895 : 200000 7356224 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2894 : 200000 7165696 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2893 : 200000 2171840 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2892 : 200000 7344096 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2891 : 200000 7152640 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2890 : 200000 2171648 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2889 : 200000 7350080 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2888 : 200000 7162912 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2887 : 200000 2202944 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2886 : 200000 7368416 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2885 : 200000 7179520 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2884 : 200000 2240064 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2883 : 200000 7379840 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2882 : 200000 7192448 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2881 : 200000 2254976 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2880 : 200000 7391200 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2879 : 200000 7197920 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2878 : 200000 2237152 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2877 : 200000 7405472 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2876 : 200000 7222656 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2875 : 200000 2270048 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2874 : 200000 7466368 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2873 : 200000 7282656 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2872 : 200000 2279360 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2871 : 200000 7513536 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2870 : 200000 7328672 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2869 : 200000 2264800 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2868 : 200000 7514400 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2867 : 200000 7330624 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2866 : 200000 2259040 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2865 : 200000 7592864 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2864 : 200000 7406336 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2863 : 200000 2282240 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2862 : 200000 7604032 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2861 : 200000 7415264 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2860 : 200000 2281280 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2859 : 200000 7596480 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2858 : 200000 7421344 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2857 : 200000 2268864 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2856 : 200000 7506464 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2855 : 200000 7332224 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2854 : 200000 2197248 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2853 : 200000 7349632 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2852 : 200000 7180928 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2851 : 200000 2127520 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2850 : 200000 7126976 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2849 : 200000 6946048 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2848 : 200000 2085504 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2847 : 200000 7172832 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2846 : 200000 6831008 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2842 : 40000 0 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2841 : 40000 299904 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2840 : 40000 287200 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2839 : 40000 416800 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2838 : 40000 378240 0 1250 1250 0 0 0 0 
test.1.sm_70.ptx 2837 : 40000 389504 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2836 : 40000 258976 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2835 : 40000 422496 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2832 : 40000 14321856 160000 0 0 5000 1250 0 0 
test.1.sm_70.ptx 2831 : 40000 392512 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2830 : 40000 393952 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2829 : 40000 432512 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2828 : 40000 381408 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2826 : 40000 0 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2825 : 40000 263200 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2824 : 40000 422112 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2823 : 40000 264064 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2822 : 40000 399936 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2821 : 40000 275136 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2820 : 40000 399904 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2819 : 40000 281248 0 0 0 0 0 0 0 
test.1.sm_70.ptx 898 : 40000 612992 0 0 0 0 0 0 0 
test.1.sm_70.ptx 851 : 40000 438368 0 0 0 0 0 0 0 
test.1.sm_70.ptx 850 : 40000 4595072 0 0 0 5000 1250 0 0 
test.1.sm_70.ptx 849 : 40000 585632 0 0 0 0 0 0 0 
test.1.sm_70.ptx 848 : 40000 496512 0 0 0 0 0 0 0 
test.1.sm_70.ptx 845 : 40000 0 0 0 0 0 0 0 0 
test.1.sm_70.ptx 844 : 40000 489280 0 0 0 0 0 0 0 
test.1.sm_70.ptx 843 : 40000 525280 0 0 0 0 0 0 0 
test.1.sm_70.ptx 842 : 40000 569632 0 0 0 0 0 0 0 
test.1.sm_70.ptx 841 : 40000 600992 0 0 0 0 0 0 0 
test.1.sm_70.ptx 840 : 40000 551648 0 0 0 0 0 0 0 
test.1.sm_70.ptx 839 : 40000 5689280 0 0 0 20000 1250 0 0 
test.1.sm_70.ptx 838 : 40000 5101760 0 0 0 2500 1250 0 0 
test.1.sm_70.ptx 837 : 40000 1514528 0 0 0 0 0 0 0 
test.1.sm_70.ptx 836 : 40000 5773920 0 0 0 20000 1250 0 0 
test.1.sm_70.ptx 835 : 40000 5174752 0 0 0 2500 1250 0 0 
test.1.sm_70.ptx 834 : 40000 1640192 0 0 0 0 0 0 0 
test.1.sm_70.ptx 833 : 40000 5734624 0 0 0 20000 1250 0 0 
test.1.sm_70.ptx 832 : 40000 5129312 0 0 0 2500 1250 0 0 
test.1.sm_70.ptx 831 : 40000 1569088 0 0 0 0 0 0 0 
test.1.sm_70.ptx 830 : 40000 4882112 0 0 0 20000 1250 0 0 
test.1.sm_70.ptx 829 : 40000 4899392 0 0 0 2500 1250 0 0 
test.1.sm_70.ptx 749 : 40000 5782080 0 0 0 20000 1250 0 0 
test.1.sm_70.ptx 748 : 40000 5189728 0 0 0 2500 1250 0 0 
test.1.sm_70.ptx 747 : 40000 2335360 0 0 0 0 0 0 0 
test.1.sm_70.ptx 746 : 40000 5049312 0 0 0 20000 1250 0 0 
test.1.sm_70.ptx 745 : 40000 4312320 0 0 0 2500 1250 0 0 
test.1.sm_70.ptx 744 : 40000 1657024 0 0 0 0 0 0 0 
test.1.sm_70.ptx 743 : 40000 16543520 0 0 0 20000 1250 0 0 
test.1.sm_70.ptx 742 : 40000 3368064 0 0 0 2500 1250 0 0 
test.1.sm_70.ptx 739 : 40000 708224 0 0 0 0 0 0 0 
test.1.sm_70.ptx 738 : 40000 446144 0 0 0 0 0 0 0 
test.1.sm_70.ptx 737 : 40000 430080 0 0 0 0 0 0 0 
test.1.sm_70.ptx 736 : 40000 455296 0 0 0 0 0 0 0 
test.1.sm_70.ptx 735 : 40000 432768 0 0 0 0 0 0 0 
test.1.sm_70.ptx 734 : 40000 406560 0 0 0 0 0 0 0 
test.1.sm_70.ptx 733 : 40000 418752 0 0 0 0 0 0 0 
test.1.sm_70.ptx 732 : 40000 403168 0 0 0 0 0 0 0 
test.1.sm_70.ptx 730 : 40000 0 0 0 0 0 0 0 0 
test.1.sm_70.ptx 729 : 40000 291232 0 0 0 0 0 0 0 
test.1.sm_70.ptx 728 : 40000 410976 0 0 0 0 0 0 0 
test.1.sm_70.ptx 706 : 40000 281248 0 0 0 0 0 0 0 
test.1.sm_70.ptx 705 : 40000 283328 0 0 0 0 0 0 0 
